tool_family,channel,channel_name,unit,progress_bin,progress_center,n,physical_mae,physical_signed_error
grasp,1,shoulder_lift,rad_delta,3,0.35,5,0.02008180290460586,-0.001716002523899085
grasp,1,shoulder_lift,rad_delta,5,0.55,6,0.005917006234327958,0.005430248379707338
grasp,1,shoulder_lift,rad_delta,6,0.65,5,0.0027529928088188215,0.0027529928088188215
grasp,1,shoulder_lift,rad_delta,9,0.95,11,0.005246072397990659,0.004767412963238632
grasp,2,upperarm_roll,rad_delta,0,0.05,11,0.03182395561174914,0.017470493099906226
grasp,2,upperarm_roll,rad_delta,2,0.25,1,0.15298643410205842,0.15298643410205842
grasp,2,upperarm_roll,rad_delta,3,0.35,5,0.004977978765964508,-0.0017912200093269325
grasp,2,upperarm_roll,rad_delta,5,0.55,6,0.015041263401508331,-0.0007105340560277368
grasp,2,upperarm_roll,rad_delta,6,0.65,5,0.008593344092369079,-0.008593344092369079
grasp,2,upperarm_roll,rad_delta,9,0.95,11,0.008381645652380854,-0.00652931806716052
grasp,3,elbow_flex,rad_delta,0,0.05,11,0.058194182525304235,0.03260757206854495
grasp,3,elbow_flex,rad_delta,2,0.25,1,0.010297711193561543,-0.010297711193561543
grasp,3,elbow_flex,rad_delta,3,0.35,5,0.011736682951450347,0.009627707898616791
grasp,3,elbow_flex,rad_delta,5,0.55,6,0.004275771478811895,-0.003515249490737916
grasp,3,elbow_flex,rad_delta,6,0.65,5,0.003239414393901818,-0.00038558751344680564
grasp,3,elbow_flex,rad_delta,9,0.95,11,0.004544671150771051,-0.0031344518065452563
grasp,4,forearm_roll,rad_delta,0,0.05,11,0.01773978532715277,-0.01637134775519371
grasp,4,forearm_roll,rad_delta,2,0.25,1,0.007270844280719779,-0.007270844280719779
grasp,4,forearm_roll,rad_delta,3,0.35,5,0.01151626780629159,-0.01151626780629159
grasp,4,forearm_roll,rad_delta,5,0.55,6,0.007068619380394619,-0.006882390131553014
grasp,4,forearm_roll,rad_delta,6,0.65,5,0.007162772715091697,-0.007162772715091697
grasp,4,forearm_roll,rad_delta,9,0.95,11,0.006819740750572905,-0.006424181840636519
grasp,5,wrist_flex,rad_delta,0,0.05,11,0.08063763982870363,0.050320649756626645
grasp,5,wrist_flex,rad_delta,2,0.25,1,2.155900001526989e-05,2.155900001526989e-05
grasp,5,wrist_flex,rad_delta,3,0.35,5,0.009569952487945555,-0.009569952487945555
grasp,5,wrist_flex,rad_delta,5,0.55,6,0.00746780037879943,-0.0073612670103708824
grasp,5,wrist_flex,rad_delta,6,0.65,5,0.006318402588367464,-0.006318402588367464
grasp,5,wrist_flex,rad_delta,9,0.95,11,0.006122373044490815,-0.006122373044490815
grasp,6,wrist_roll,rad_delta,0,0.05,11,0.03789737404070117,0.020930050855333157
grasp,6,wrist_roll,rad_delta,2,0.25,1,0.008414782490581273,0.008414782490581273
grasp,6,wrist_roll,rad_delta,3,0.35,5,0.01965170916169882,-0.007616366185247897
grasp,6,wrist_roll,rad_delta,5,0.55,6,0.031660210768071316,0.021244368989331023
grasp,6,wrist_roll,rad_delta,6,0.65,5,0.03564360281452537,-0.00034730376675724817
grasp,6,wrist_roll,rad_delta,9,0.95,11,0.03915273033198901,0.006951063210462135
grasp,7,gripper,m_joint_target,0,0.05,11,0.025515067244625902,-0.011664269907738672
grasp,7,gripper,m_joint_target,2,0.25,1,0.05766758590936662,-0.05766758590936662
grasp,7,gripper,m_joint_target,3,0.35,5,0.009634606570936741,0.009634606570936741
grasp,7,gripper,m_joint_target,5,0.55,6,0.0031006202101707472,-0.0008449965715408328
grasp,7,gripper,m_joint_target,6,0.65,5,0.004951390458270909,0.002308488858863711
grasp,7,gripper,m_joint_target,9,0.95,11,0.0027065175653181294,-0.0009708084690977226
grasp,8,head_pan,rad_delta,0,0.05,11,0.0,0.0
grasp,8,head_pan,rad_delta,2,0.25,1,0.0,0.0
grasp,8,head_pan,rad_delta,3,0.35,5,0.0,0.0
grasp,8,head_pan,rad_delta,5,0.55,6,0.0,0.0
grasp,8,head_pan,rad_delta,6,0.65,5,0.0,0.0
